id,label,available,residence_label,residence_address,residence_city,residence_postal_code,sector_label,lat,lon,area_min,area_max,rent_min,rent_max,occupation_type,adapted_pmr,high_demand,low_stock,url
1970,Aubervilliers T2,False,AUBERVILLIERS,"60/60bis, rue d Aubervilliers 75019 PARIS",PARIS,75019,Paris,48.888,2.368,40.0,40.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1970
2000,T1 PMR,False,Combs La Ville - Ilot du Bel Air,20 - 28 rue des Brandons 77380 Combs La Ville,Combs La Ville,77380,SENART_77,48.665,2.558,17.7,17.7,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2000
2042,T4 Colocation,False,Orsay-Ulis,"15, rue le Bosquet 91940 les ULIS",les ULIS,91940,ORSAY,48.68,2.165,57.1,57.1,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2042
2052,T1,False,Lieusaint,1 rue du Terme Boreal 77127 LIEUSAINT,LIEUSAINT,77127,SENART_77,48.629,2.554,19.63,20.37,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2052
2055,T5 Colocation,False,Orsay-Ulis,"15, rue le Bosquet 91940 les ULIS",les ULIS,91940,ORSAY,48.68,2.165,0.0,0.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2055
2116,T2,False,Fontainebleau - Raymond Fischesser,3 ter rue de Ferrare 77300 Fontainebleau,Fontainebleau,77300,FONTAINEBLEAU,48.404,2.698,15.33,19.99,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2116
2131,T1c,False,Boissy Saint Leger,4D Boulevard de la Gare 94470 Boissy Saint Leger,Boissy Saint Leger,94470,CRETEIL,48.753,2.506,17.05,18.01,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2131
2149,T1 PMR,False,Moissy Cramayel - Alfred Sisley,106 rue Bajot 77550 Moissy Cramayel,Moissy Cramayel,77550,SENART_77,48.628,2.589,21.42,21.42,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2149
2180,APT 1,False,XXXX RESIDENCE REUILLY -,"20 bis rue de reuilly , 75012 Paris",Paris,75012,Paris,48.848,2.386,18.0,19.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2180
2200,T2 GRAND (Colocation),False,Moissy Cramayel - Alfred Sisley,106 rue Bajot 77550 Moissy Cramayel,Moissy Cramayel,77550,SENART_77,48.628,2.589,23.22,23.22,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2200
